,Sfc_Runoff,C,Precip
1981-01-01,0.00030,3.0200000000000387,0.34
1981-01-02,0.00000,0.8799999999999955,0.05
1981-01-03,0.00000,-0.839999999999975,0.0
1981-01-04,0.00000,-3.7799999999999727,0.0
1981-01-05,0.00000,-9.989999999999952,0.0
1981-01-06,0.00000,-4.759999999999991,0.0
1981-01-07,0.00540,-0.060000000000002274,2.39
1981-01-08,0.00000,-6.439999999999998,0.0
1981-01-09,0.00000,-4.239999999999952,0.0
1981-01-10,0.00000,-4.069999999999993,0.0
1981-01-11,0.00000,-9.609999999999957,0.0
1981-01-12,0.00000,-9.859999999999957,0.0
1981-01-13,0.00000,-8.819999999999993,0.0
1981-01-14,0.00000,-1.2799999999999727,0.0
1981-01-15,0.00000,1.670000000000016,0.12
1981-01-16,0.00000,1.080000000000041,0.0
1981-01-17,0.00000,-4.3700000000000045,0.0
1981-01-18,0.00000,-4.310000000000002,0.0
1981-01-19,0.00000,0.5900000000000318,0.0
1981-01-20,0.00000,4.580000000000041,0.0
1981-01-21,0.09870,4.890000000000043,7.01
1981-01-22,0.00000,3.980000000000018,0.0
1981-01-23,0.00000,1.9600000000000364,0.0
1981-01-24,0.00000,2.1100000000000136,0.0
1981-01-25,0.00000,4.610000000000014,0.0
1981-01-26,0.00000,6.350000000000023,0.0
1981-01-27,0.00090,9.939999999999998,0.32
1981-01-28,0.00000,6.520000000000039,0.0
1981-01-29,0.00000,3.5300000000000296,0.0
1981-01-30,0.00000,-1.1499999999999773,0.45
1981-01-31,0.00000,-4.109999999999957,0.04
1981-02-01,0.01160,-2.9499999999999886,2.42
1981-02-02,0.68410,5.060000000000002,16.24
1981-02-03,0.00000,-6.149999999999977,0.0
1981-02-04,0.00000,-6.009999999999991,0.0
1981-02-05,0.00000,-6.259999999999991,0.0
1981-02-06,0.00000,-2.9499999999999886,0.0
1981-02-07,0.00000,1.6299999999999955,0.0
1981-02-08,0.00230,2.740000000000009,1.4
1981-02-09,0.00000,-1.8199999999999932,0.27
1981-02-10,0.01080,1.990000000000009,2.94
1981-02-11,0.94580,11.550000000000011,27.3
1981-02-12,0.00000,-6.779999999999973,0.0
1981-02-13,0.00000,-4.569999999999993,0.0
1981-02-14,0.00000,0.05000000000001137,0.0
1981-02-15,0.00000,3.730000000000018,0.0
1981-02-16,0.00000,5.07000000000005,0.0
1981-02-17,0.00750,9.060000000000002,1.46
1981-02-18,0.00600,11.29000000000002,0.67
1981-02-19,0.23170,11.220000000000027,9.81
1981-02-20,0.20390,11.07000000000005,7.95
1981-02-21,0.00000,9.740000000000009,0.02
1981-02-22,0.01320,10.430000000000007,1.78
1981-02-23,0.05520,11.460000000000036,5.59
1981-02-24,0.00000,6.210000000000036,0.04
1981-02-25,0.00000,5.1299999999999955,0.0
1981-02-26,0.00000,5.300000000000011,0.0
1981-02-27,0.00000,5.390000000000043,0.0
1981-02-28,0.00000,10.080000000000041,0.04
1981-03-01,0.00000,11.840000000000032,0.09
1981-03-02,0.00060,7.580000000000041,0.53
1981-03-03,0.00210,3.3799999999999955,1.54
1981-03-04,0.05170,3.240000000000009,5.0
1981-03-05,0.09890,6.57000000000005,6.69
1981-03-06,0.00000,4.260000000000048,0.0
1981-03-07,0.00000,1.8000000000000114,0.0
1981-03-08,0.00000,1.0900000000000318,0.0
1981-03-09,0.00000,4.840000000000032,0.0
1981-03-10,0.00000,5.300000000000011,0.0
1981-03-11,0.00000,6.260000000000048,0.0
1981-03-12,0.00000,4.510000000000048,0.0
1981-03-13,0.00000,7.3700000000000045,0.0
1981-03-14,0.00000,5.6200000000000045,0.0
1981-03-15,0.00000,3.7800000000000296,0.0
1981-03-16,0.00000,7.740000000000009,0.27
1981-03-17,0.00000,2.150000000000034,0.0
1981-03-18,0.00030,6.680000000000007,0.38
1981-03-19,0.00060,2.2200000000000273,0.58
1981-03-20,0.00000,-1.4799999999999613,0.0
1981-03-21,0.02870,2.150000000000034,1.73
1981-03-22,0.02150,3.0600000000000023,2.64
1981-03-23,0.46090,2.32000000000005,14.76
1981-03-24,0.00000,4.140000000000043,0.0
1981-03-25,0.00000,6.650000000000034,0.0
1981-03-26,0.00000,7.910000000000025,0.04
1981-03-27,0.00000,10.720000000000027,0.01
1981-03-28,0.00000,9.07000000000005,0.0
1981-03-29,0.00000,11.700000000000045,0.0
1981-03-30,2.05260,14.840000000000032,19.07
1981-03-31,0.00020,15.890000000000043,0.17
1981-04-01,0.00000,16.840000000000032,0.08
1981-04-02,0.00000,14.080000000000041,0.0
1981-04-03,0.00000,16.55000000000001,0.0
1981-04-04,0.00000,17.29000000000002,0.0
1981-04-05,0.14510,16.510000000000048,9.07
1981-04-06,0.00220,8.920000000000016,0.79
1981-04-07,0.00000,6.960000000000036,0.0
1981-04-08,0.00000,11.520000000000039,0.0
1981-04-09,0.09880,13.210000000000036,5.79
1981-04-10,0.00050,14.939999999999998,0.63
1981-04-11,0.00000,18.79000000000002,0.0
1981-04-12,0.00110,21.010000000000048,0.68
1981-04-13,0.13570,16.58000000000004,5.31
1981-04-14,0.16780,13.760000000000048,6.75
1981-04-15,0.02070,12.78000000000003,1.29
1981-04-16,0.00260,10.840000000000032,0.87
1981-04-17,0.12970,13.360000000000014,7.87
1981-04-18,0.00000,18.160000000000025,0.15
1981-04-19,0.00000,16.53000000000003,0.0
1981-04-20,0.49210,13.510000000000048,12.57
1981-04-21,0.00000,9.53000000000003,0.01
1981-04-22,0.00000,9.990000000000009,0.0
1981-04-23,0.00050,16.840000000000032,0.7
1981-04-24,0.01380,16.58000000000004,2.1
1981-04-25,0.00000,9.270000000000039,0.0
1981-04-26,0.00000,12.689999999999998,0.0
1981-04-27,0.00000,19.55000000000001,0.0
1981-04-28,0.00000,21.920000000000016,0.0
1981-04-29,0.00110,21.650000000000034,1.48
1981-04-30,0.01540,18.52000000000004,2.09
1981-05-01,0.00100,15.650000000000034,1.07
1981-05-02,0.00000,9.910000000000025,0.04
1981-05-03,0.00000,10.600000000000023,0.0
1981-05-04,0.00000,16.30000000000001,0.0
1981-05-05,0.00000,18.480000000000018,0.0
1981-05-06,0.00240,17.220000000000027,1.28
1981-05-07,0.00490,14.450000000000045,1.33
1981-05-08,0.00000,10.57000000000005,0.0
1981-05-09,0.00000,11.650000000000034,0.07
1981-05-10,0.00450,15.04000000000002,2.0
1981-05-11,0.23420,17.54000000000002,8.12
1981-05-12,0.00000,14.420000000000016,0.0
1981-05-13,0.00000,14.050000000000011,0.0
1981-05-14,0.00000,18.53000000000003,0.0
1981-05-15,0.26510,18.58000000000004,8.29
1981-05-16,0.00000,13.170000000000016,0.04
1981-05-17,0.00000,14.78000000000003,0.44
1981-05-18,0.02740,14.740000000000009,4.09
1981-05-19,0.61060,11.080000000000041,20.67
1981-05-20,0.10040,9.420000000000016,6.42
1981-05-21,0.00000,13.5,0.25
1981-05-22,0.00000,17.170000000000016,0.0
1981-05-23,0.00000,18.970000000000027,0.0
1981-05-24,0.00000,21.610000000000014,0.0
1981-05-25,0.00000,23.04000000000002,0.0
1981-05-26,0.00000,22.75,0.04
1981-05-27,0.18160,19.760000000000048,11.48
1981-05-28,1.58890,18.82000000000005,30.73
1981-05-29,0.00110,18.57000000000005,0.75
1981-05-30,0.00000,21.879999999999995,0.43
