Unnamed: 0,Unnamed: 0,count,mean,std,min,25%,50%,75%,max
1981,1,31.0,0.0024806451612903223,0.012981022542024925,0.0,0.0,0.0,0.0,0.0724
1981,2,28.0,0.06024285714285714,0.1880811121880789,0.0,0.0,0.0,0.011600000000000001,0.7875
1981,3,31.0,0.07221935483870967,0.29366813857295315,0.0,0.0,0.0,0.0001,1.6118
1981,4,30.0,0.04273,0.12039650914288628,0.0,0.0,0.00015000000000000001,0.009875,0.6019
1981,5,31.0,0.14859999999999998,0.5079241176921345,0.0,0.0,0.0,0.01225,2.76
1981,6,30.0,0.06344666666666668,0.16387346828939514,0.0,0.0,0.0,0.03505,0.7828
1981,7,31.0,0.07582580645161291,0.16414300668978038,0.0,0.0,0.0003,0.07035,0.7543
1981,8,31.0,0.060451612903225795,0.19308624820870046,0.0,0.0,0.0,0.0001,0.8048
1981,9,30.0,0.11212666666666667,0.396322880327725,0.0,0.0,0.0,0.0069500000000000004,2.1013
1981,10,31.0,0.18768709677419357,0.8569006919287421,0.0,0.0,0.0,0.0001,4.7419
1981,11,30.0,0.012610000000000001,0.0658288551656019,0.0,0.0,0.0,0.000375,0.361
1981,12,31.0,0.04667096774193548,0.129018275691336,0.0,0.0,0.0,0.028749999999999998,0.6899
1982,1,31.0,0.20256129032258066,0.42863324157716254,0.0,0.0,0.0102,0.14885,1.8545
1982,2,28.0,0.2902142857142858,1.0150070799659245,0.0,0.0,0.0012499999999999998,0.064475,5.3507
1982,3,31.0,0.09899677419354841,0.20814125569569494,0.0,0.0,0.0022,0.0529,0.8116
1982,4,30.0,0.08312999999999998,0.23472595047754352,0.0,0.0,0.0,0.019299999999999998,1.1032
1982,5,31.0,0.1467290322580645,0.3310801496048436,0.0,0.0,0.0014,0.0753,1.5125
1982,6,30.0,0.18349000000000001,0.37580163086210877,0.0,0.0,0.00185,0.129475,1.6041
1982,7,31.0,0.0989967741935484,0.2601082614141927,0.0,0.0,0.0028,0.038349999999999995,1.316
1982,8,31.0,0.1697935483870968,0.3681059312530239,0.0,0.0,0.0001,0.0915,1.3341
1982,9,30.0,0.09430666666666668,0.3337172227824168,0.0,0.0,0.0,0.00015000000000000001,1.3326
1982,10,31.0,0.12125806451612904,0.37436743428009644,0.0,0.0,0.0,0.004699999999999999,1.7516
1982,11,30.0,0.11438333333333334,0.30229450139675484,0.0,0.0,0.0005499999999999999,0.027725,1.4432
1982,12,31.0,0.07517419354838709,0.23769491786425428,0.0,0.0,0.0,0.00935,1.1736
1983,1,31.0,0.018180645161290324,0.06109428461732919,0.0,0.0,0.0,0.0029,0.3236
1983,2,28.0,0.11020714285714284,0.3376857403065003,0.0,0.0,0.0009499999999999999,0.016525,1.7344
1983,3,31.0,0.17553870967741933,0.4548353729115765,0.0,0.0,0.0015,0.15305000000000002,2.4226
1983,4,30.0,0.5191499999999999,1.29642528110291,0.0,0.0,0.0001,0.42775,6.0936
1983,5,31.0,0.05512580645161291,0.12415007039262856,0.0,0.0,0.0,0.036,0.4901
1983,6,30.0,0.13865333333333335,0.31799257715619206,0.0,0.0,0.01895,0.1072,1.5754
1983,7,31.0,0.031400000000000004,0.09144904227674194,0.0,0.0,0.0,0.0001,0.3372
1983,8,31.0,0.034238709677419356,0.11103634743458063,0.0,0.0,0.0,0.0121,0.6026
1983,9,30.0,0.05274,0.2296089623385962,0.0,0.0,0.0,7.500000000000001e-05,1.2501
1983,10,31.0,0.23534193548387095,0.6072231148291343,0.0,0.0,0.0,0.0269,2.9424
1983,11,30.0,0.17906999999999998,0.5115055998951898,0.0,0.0,0.00035,0.008925,2.2616
1983,12,31.0,0.17164193548387097,0.5251706470435386,0.0,0.0,0.0,0.00915,2.4517
1984,1,31.0,0.03717096774193547,0.055698008303998243,0.0,5e-05,0.0008,0.0658,0.1735
1984,2,29.0,0.23110344827586204,0.7986294038103918,0.0,0.0,0.0001,0.0099,3.7353
1984,3,31.0,0.23845161290322578,0.64079390960015,0.0,0.0,0.0002,0.0364,2.9749
1984,4,30.0,0.14181666666666665,0.37636981545881937,0.0,0.0,0.0008500000000000001,0.09795000000000001,1.7381
1984,5,31.0,0.16719677419354834,0.5622185669197054,0.0,0.0,0.0,0.1016,3.1329
1984,6,30.0,0.01857333333333333,0.045898703560185085,0.0,0.0,0.0,0.0002,0.172
1984,7,31.0,0.10430645161290325,0.19667382122943877,0.0,0.00015,0.03,0.0893,0.6989
1984,8,31.0,0.33865483870967744,1.0930259063226602,0.0,0.0,0.0138,0.09625,5.8575
1984,9,30.0,0.0221,0.06286539533825014,0.0,0.0,0.0,0.0,0.2886
1984,10,31.0,0.06786129032258065,0.2483192497269317,0.0,0.0,0.0,0.00145,1.288
1984,11,30.0,0.07849333333333333,0.1993136272887243,0.0,0.0,0.0,0.001175,0.7523
1984,12,31.0,0.02599354838709677,0.08445281102676558,0.0,0.0,0.0001,0.0034999999999999996,0.4441
1985,1,31.0,0.059216129032258064,0.18435677385036914,0.0,0.0,0.0001,0.00375,0.8152
1985,2,28.0,0.20403571428571426,0.7156060530219772,0.0,0.0,0.0,0.00315,3.6417
1985,3,31.0,0.024596774193548384,0.0886367850043873,0.0,0.0,0.0,0.002,0.3772
1985,4,30.0,0.09723666666666668,0.30053484792298546,0.0,0.0,0.0,0.0,1.3444
1985,5,31.0,0.2619483870967742,0.7135510273138462,0.0,0.0,0.0001,0.09745000000000001,3.5927
1985,6,30.0,0.048586666666666674,0.15311088777099752,0.0,0.0,0.0,0.030600000000000002,0.8321
