Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean
1987,6,30,0.01903,0.035490204,0,0,0,0.016275,0.1298,0.5709
1987,7,31,0.148454839,0.31032869,0,0,0.0004,0.12765,1.2848,4.6021
1987,8,31,0.023612903,0.078451615,0,0,0,0.0029,0.4194,0.732
1987,9,30,0.34217,0.849335602,0,0,0,0.29745,4.2279,10.2651
1987,10,31,0.0346,0.140485231,0,0,0,0,0.7515,1.0726
1987,11,30,0.192723333,0.657794296,0,0,0,0.013325,3.3225,5.7817
1987,12,31,0.07186129,0.170291205,0,0,0,0.0024,0.6954,2.2277
1988,1,31,0.024451613,0.059677354,0,0,0,0.00615,0.2595,0.758
1988,2,29,0.016131034,0.06343535,0,0,0,0.0017,0.3411,0.4678
1988,3,31,0.013887097,0.060811801,0,0,0,0.0013,0.3379,0.4305
1988,4,30,0.094126667,0.201923855,0,0,0.0003,0.040475,0.777,2.8238
1988,5,31,0.042622581,0.102567291,0,0,0.0001,0.04505,0.5351,1.3213
1988,6,30,0.133046667,0.313714337,0,0,0,0.020725,1.1543,3.9914
1988,7,31,0.198674194,0.50106314,0,0,0.0003,0.0846,2.2671,6.1589
1988,8,31,0.213429032,0.596790035,0,0,0.0066,0.0713,3.0357,6.6163
1988,9,30,0.06686,0.22356796,0,0,0,0.014575,0.9188,2.0058
1988,10,31,0.017832258,0.065042368,0,0,0,0,0.3463,0.5528
1988,11,30,0.139173333,0.42081282,0,0,5.00E-05,0.005375,2.1044,4.1752
1988,12,31,0.028090323,0.133993605,0,0,0,0,0.7451,0.8708
1989,1,31,0.041103226,0.112955822,0,0,0.0001,0.00785,0.5464,1.2742
1989,2,28,0.017928571,0.037882223,0,0,0.0009,0.0149,0.152,0.502
1989,3,31,0.063454839,0.176105822,0,0,0.0001,0.02265,0.9034,1.9671
1989,4,30,0.117116667,0.295697098,0,0,0.00085,0.065675,1.4664,3.5135
1989,5,31,0.286383871,0.734270295,0,0,0,0.01315,3.4518,8.8779
1989,6,30,0.292473333,0.468436865,0,0.000575,0.03745,0.5357,1.902,8.7742
1989,7,31,0.355464516,0.915610784,0,5.00E-05,0.026,0.1878,4.7491,11.0194
1989,8,31,0.03003871,0.098770474,0,0,0,0.00345,0.4324,0.9312
1989,9,30,0.712946667,2.002190979,0,0,0.0015,0.111725,9.68,21.3884
1989,10,31,0.129164516,0.391686344,0,0,0,5.00E-05,1.6565,4.0041
1989,11,30,0.264376667,1.389150054,0,0,0.00105,0.0101,7.6184,7.9313
1989,12,31,0.037364516,0.115868893,0,0,0,0.01,0.5582,1.1583
1990,1,31,0.035141935,0.096008367,0,0,0.0013,0.00815,0.4711,1.0894
1990,2,28,0.088203571,0.193233552,0,0,0.0003,0.072175,0.897,2.4697
1990,3,31,0.084709677,0.183695794,0,0,0.0003,0.02915,0.7397,2.626
1990,4,30,0.05901,0.104955844,0,0,0.0003,0.063525,0.3368,1.7703
1990,5,31,0.276390323,0.716154107,0,0,0.0003,0.0733,3.0636,8.5681
1990,6,30,0.019996667,0.066302262,0,0,0,0,0.3271,0.5999
1990,7,31,0.24523871,0.635264127,0,0,0.0001,0.02985,2.5884,7.6024
1990,8,31,0.189403226,0.498619043,0,0,0,0.09765,2.5758,5.8715
1990,9,30,0.0176,0.046229346,0,0,0,0.0031,0.2091,0.528
1990,10,31,0.815106452,2.333532491,0,0,0,0.074,11.6473,25.2683
1990,11,30,0.047373333,0.211500811,0,0,0,0,1.1402,1.4212
1990,12,31,0.072103226,0.138458159,0,0,0.0018,0.0511,0.5038,2.2352
1991,1,31,0.122422581,0.516920559,0,0,0,0.00045,2.8319,3.7951
1991,2,28,0.034896429,0.102033108,0,0,0,0.010125,0.5223,0.9771
1991,3,31,0.277329032,0.798242499,0,0,0.0021,0.09535,4.2789,8.5972
1991,4,30,0.07547,0.139994966,0,0,0.0026,0.086425,0.5097,2.2641
1991,5,31,0.071609677,0.176629117,0,0,0,0.05415,0.8597,2.2199
1991,6,30,0.140066667,0.428035352,0,0,0,0.010525,2.1477,4.202
1991,7,31,0.185412903,0.378083222,0,0,0.0005,0.27955,1.7857,5.7478
1991,8,31,0.046490323,0.10794822,0,0,0,0.0267,0.5102,1.4412
1991,9,30,0.005586667,0.01474722,0,0,0,0.00015,0.0704,0.1676
1991,10,31,0.007929032,0.034718921,0,0,0,0,0.1859,0.2458
1991,11,30,0.099626667,0.459235268,0,0,0,0.0021,2.5089,2.9888
1991,12,31,0.117329032,0.307124777,0,0,0,0.02815,1.5104,3.6372
1992,1,31,0.176229032,0.658707421,0,0,0,0.0003,3.2215,5.4631
1992,2,29,0.15102069,0.526972275,0,0,0,0.037,2.784,4.3796
1992,3,31,0.095267742,0.260642197,0,0,0.0004,0.0171,1.3315,2.9533
1992,4,30,0.585466667,2.6141054,0,0,0,0.003025,14.1818,17.564
1992,5,31,0.543119355,1.512580621,0,0,0,0.15235,6.3232,16.8367
1992,6,30,0.32905,0.705037147,0,0,0.00085,0.116525,2.25,9.8715
1992,7,31,0.10906129,0.244909006,0,0,0,0.04495,0.8711,3.3809
1992,8,31,0.1267,0.44189685,0,0,0,0.0107,1.9266,3.9277
1992,9,30,0.114993333,0.317429267,0,0,5.00E-05,0.0534,1.2843,3.4498
1992,10,31,0.111519355,0.359270925,0,0,0,0.0009,1.7647,3.4571
1992,11,30,0.512476667,1.233402164,0,0,0.00025,0.488325,6.2604,15.3743
1992,12,31,0.089748387,0.17110202,0,0,0,0.07985,0.6525,2.7822
1993,1,31,0.344896774,0.730832322,0,0,0,0.2927,2.8279,10.6918
1993,2,28,0.171025,0.484457116,0,0,0,0.004825,1.7808,4.7887
1993,3,31,0.764735484,2.337009648,0,0,0.0033,0.19975,12.4709,23.7068
1993,4,30,0.24568,0.490075033,0,0,0,0.020375,1.4724,7.3704
1993,5,31,0.225077419,0.456083386,0,0,0,0.1513,1.6521,6.9774
1993,6,30,0.331343333,0.977416908,0,0,0,0.045525,3.931,9.9403
1993,7,31,0.212006452,0.54437374,0,0,0.0002,0.0495,2.4653,6.5722
1993,8,31,0.013170968,0.06293064,0,0,0,0.00045,0.3511,0.4083
1993,9,30,0.119476667,0.225318171,0,0,0.0025,0.15905,0.9306,3.5843
