Year,Month,comid,count_Temp,monthly_mean_Temp_C_pd,std_Temp,min_Temp,25%_Temp,50%_Temp,75%_Temp,max_Temp,count_Precip,monthly_mean_Precip_mm_pd,std_Precip,min_Precip,25%_Precip,50%_Precip,75%_Precip,max_Precip,count_Runoff,monthly_mean_Runoff_mm_pd,std_Runoff,min_Runoff,25%_Runoff,50%_Runoff,75%_Runoff,max_Runoff
1981,2,8625279,28,3.596785714,6.288773686,-6.78,-2.1025,5.065,9.825,11.55,28,2.783214286,6.10131683,0,0,0.03,1.94,27.3,28,0.077575,0.218823446,0,0,0,0.011,0.9458
1981,2,8625313,28,3.596785714,6.288773686,-6.78,-2.1025,5.065,9.825,11.55,28,2.783214286,6.10131683,0,0,0.03,1.94,27.3,28,0.077575,0.218823446,0,0,0,0.011,0.9458
1981,2,8625375,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625523,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625547,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625615,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625685,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625697,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625717,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625727,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625731,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625735,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625739,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625747,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8625775,28,3.225357143,6.331144933,-7.65,-2.5875,4.61,9.285,11.05,28,2.5675,5.984796556,0,0,0.01,1.865,26.65,28,0.065082143,0.201138204,0,0,0,0.010425,0.8152
1981,2,8627469,28,3.596785714,6.288773686,-6.78,-2.1025,5.065,9.825,11.55,28,2.783214286,6.10131683,0,0,0.03,1.94,27.3,28,0.077575,0.218823446,0,0,0,0.011,0.9458
1981,2,8628577,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628579,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628581,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628587,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628591,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628603,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628611,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628623,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628627,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628631,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628641,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8628643,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,2,8629331,28,2.201428571,6.383740755,-9.21,-3.6225,3.5,8.405,10.15,28,2.413928571,5.567451268,0,0,0.025,1.78,24.36,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875
1981,3,8625279,31,5.909677419,4.001023606,-1.48,3.15,5.3,7.66,15.89,31,1.725806452,4.367132373,0,0,0,0.555,19.07,31,0.087680645,0.374210997,0,0,0,0.0006,2.0526
1981,3,8625313,31,5.909677419,4.001023606,-1.48,3.15,5.3,7.66,15.89,31,1.725806452,4.367132373,0,0,0,0.555,19.07,31,0.087680645,0.374210997,0,0,0,0.0006,2.0526
1981,3,8625375,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625523,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625547,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625615,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625685,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625697,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625717,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625727,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625731,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625735,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625739,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
1981,3,8625747,31,5.406774194,4.093714195,-2.09,2.64,4.58,7.185,15.45,31,1.819032258,4.740875696,0,0,0,0.4,20.03,31,0.096529032,0.39573045,0,0,0,0.0002,2.1452
