,,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1982,2,28,29.78321429,3.231178037,25.91,27.4275,29.275,31.83,40.4,28,127.1464286,10.58799048,103.5,121.275,130.85,136.025,137.4,28,191.5357143,8.247164015,166.7,188.125,191.45,196.975,202.1,28,285.8607143,10.96159421,266.8,280.475,284.35,297.7,300.3,28,348.4678571,13.66295488,320.3,340.125,349.95,358.2,371.8,28,634.3321429,10.82986452,606.6,631.275,636.05,640.725,651
1982,3,31,29.25612903,3.71328038,25.92,26.91,27.95,30.405,41.45,31,92.47225806,12.1133339,76.98,82.965,87.56,101.95,117.4,31,181.7516129,9.50259161,164.8,173.95,183.9,188.75,197.3,31,303.0580645,4.584522817,295.3,298.45,304.6,307.35,308.2,31,303.4774194,22.48370832,269.3,283.3,302.4,325.6,337.4,31,606.5387097,22.56456924,564.6,588.3,609.8,627.3,639.5
1982,4,30,26.33766667,1.914198641,24.04,24.8675,25.745,27.2875,30.68,30,78.368,3.984645876,73.93,75.9725,77.545,78.3925,90.03,30,160.5,4.023208533,155.8,157.625,159.1,162.6,170.6,30,281.4266667,6.121524113,273.7,276.15,280.15,286.4,293.6,30,265.1933333,8.545978418,255.4,259.15,263.8,267.3,287.2,30,546.6133333,10.39037132,529.6,537.525,547.05,556.75,562.1
1982,5,31,26.28967742,2.040303056,23.79,24.545,25.82,28.38,30.06,31,79.53258065,4.973001755,72.99,75.435,78.25,83.875,87.77,31,160.0935484,6.028041997,151.6,155,159.3,164.85,170.8,31,270.983871,6.086876417,263,265.3,270.1,276.95,279.9,31,265.9225806,11.72500774,249.6,255.3,264.6,274.45,286.8,31,536.9096774,12.73031434,517.3,527.05,536.7,548.15,557.2
1982,6,30,27.53866667,2.007435718,25.15,25.8125,27.51,28.5375,32.91,30,83.80333333,5.382233438,76.36,79.2225,83.87,86.765,97.62,30,170.06,7.403615147,157.6,165.3,169.9,173.8,187.2,30,286.7233333,9.312012388,272.6,279.475,284.4,293.85,303,30,281.3966667,14.15177541,259.1,270.3,282.5,290.975,314.1,30,568.1233333,18.94801752,536.7,555.425,567,579.475,606.8
1982,7,31,26.01322581,1.193480588,24.42,25.015,25.9,26.775,28.98,31,77.90225806,2.477063732,74.36,76.37,76.94,79.22,85.31,31,154.4354839,2.210663307,150,153.05,154.3,156.05,158.7,31,260.1741935,7.908854436,248.3,254.1,259.2,265.85,276.2,31,258.3483871,4.864008701,249.5,255.3,257.5,261.35,270.7,31,518.5193548,9.627025133,498.3,511.95,520.7,525.8,534.3
1982,8,31,26.53096774,2.148159452,23.37,24.91,26.21,28.3,32.03,31,80.3183871,5.363209298,72.4,76.335,79.81,83.605,94.82,31,158.7516129,7.392422741,149.2,152.2,157.2,163.1,174.5,31,254.4354839,6.60184562,244,247.65,256.5,260.35,262,31,265.6032258,13.60033048,245.7,255.25,263.5,274.95,294.9,31,520.0322581,15.80610403,496.2,505.75,520.4,535.1,542.6
1982,9,30,23.86133333,2.524683296,21.17,21.8375,22.94,25.2575,30.23,30,72.16766667,6.155179867,65.08,67.1125,70.89,75.015,88.81,30,142.2166667,6.02209056,134.6,137.775,140.45,146.6,155,30,237.5366667,7.936797032,228.3,230.15,236.3,243.775,252.4,30,238.2466667,13.02892626,221.3,227.75,237.4,244.325,266.5,30,475.7766667,14.69388058,452.4,465.3,472.95,490.275,499.8
1982,10,31,26.56387097,1.868604965,24.63,25.31,25.83,27.21,33.16,31,79.96,4.185278167,74.4,76.95,78.72,82.245,91.9,31,157.4677419,6.636333681,150.2,151.9,155.6,160.7,171.6,31,240.9580645,9.123550997,230.5,232.9,239.4,246,261.2,31,263.983871,11.05513747,251.7,255.85,259,272.2,291.1,31,504.9516129,18.54018826,483.6,488.35,502.7,511.2,540
1982,11,30,27.84633333,1.62981379,25.28,26.635,27.43,28.8875,31.81,30,82.194,3.629491842,77.93,80.37,81.185,82.145,93.31,30,165.4933333,3.200100573,161.2,163.725,164.3,166.425,176.1,30,275.14,5.793551707,262.6,272.325,278,279.275,282.3,30,275.5433333,7.407576891,264.4,271.75,272.9,278.95,294.4,30,550.6933333,9.651797522,528.7,548.7,551.5,553.025,576.8
