,Sfc_Runoff,C,Precip
1981-01-01,0.00030,1.25,0.39
1981-01-02,0.00000,-1.349999999999966,0.06
1981-01-03,0.00000,-2.099999999999966,0.0
1981-01-04,0.00000,-6.0,0.0
1981-01-05,0.00000,-11.839999999999975,0.0
1981-01-06,0.00000,-5.539999999999964,0.0
1981-01-07,0.00110,-1.3199999999999932,2.17
1981-01-08,0.00000,-7.889999999999986,0.0
1981-01-09,0.00000,-4.71999999999997,0.0
1981-01-10,0.00000,-5.46999999999997,0.0
1981-01-11,0.00000,-10.71999999999997,0.0
1981-01-12,0.00000,-11.529999999999973,0.0
1981-01-13,0.00000,-9.439999999999998,0.0
1981-01-14,0.00030,-1.669999999999959,0.0
1981-01-15,0.00070,0.7900000000000205,0.36
1981-01-16,0.00000,-0.839999999999975,0.0
1981-01-17,0.00000,-6.5499999999999545,0.0
1981-01-18,0.00000,-6.1299999999999955,0.0
1981-01-19,0.00000,-0.45999999999997954,0.0
1981-01-20,0.00000,3.3500000000000227,0.0
1981-01-21,0.07240,3.340000000000032,6.48
1981-01-22,0.00000,2.5100000000000477,0.0
1981-01-23,0.00000,0.75,0.0
1981-01-24,0.00000,0.5400000000000205,0.0
1981-01-25,0.00000,2.9600000000000364,0.0
1981-01-26,0.00000,5.939999999999998,0.0
1981-01-27,0.00130,8.32000000000005,0.38
1981-01-28,0.00000,4.4500000000000455,0.01
1981-01-29,0.00000,2.0,0.0
1981-01-30,0.00000,-3.009999999999991,1.42
1981-01-31,0.00080,-5.819999999999993,0.03
1981-02-01,0.02200,-3.569999999999993,2.82
1981-02-02,0.78750,3.3799999999999955,17.54
1981-02-03,0.00000,-8.399999999999977,0.0
1981-02-04,0.00000,-7.839999999999975,0.0
1981-02-05,0.00000,-8.199999999999989,0.0
1981-02-06,0.00000,-4.019999999999982,0.0
1981-02-07,0.00000,0.37999999999999545,0.0
1981-02-08,0.00320,1.7800000000000296,0.81
1981-02-09,0.00050,-3.7799999999999727,0.17
1981-02-10,0.01640,0.9700000000000273,2.47
1981-02-11,0.65060,9.629999999999995,24.36
1981-02-12,0.00000,-9.20999999999998,0.0
1981-02-13,0.00000,-5.739999999999952,0.0
1981-02-14,0.00000,-0.5600000000000023,0.0
1981-02-15,0.00000,2.990000000000009,0.0
1981-02-16,0.00000,4.340000000000032,0.0
1981-02-17,0.00320,8.330000000000041,1.55
1981-02-18,0.00410,10.150000000000034,0.71
1981-02-19,0.06480,9.879999999999995,5.31
1981-02-20,0.07730,9.29000000000002,4.99
1981-02-21,0.00000,7.770000000000039,0.2
1981-02-22,0.01000,8.629999999999995,1.52
1981-02-23,0.04720,9.689999999999998,5.09
1981-02-24,0.00000,4.470000000000027,0.0
1981-02-25,0.00000,3.6200000000000045,0.0
1981-02-26,0.00000,4.0,0.0
1981-02-27,0.00000,4.400000000000034,0.0
1981-02-28,0.00000,9.260000000000048,0.05
1981-03-01,0.00000,9.879999999999995,0.14
1981-03-02,0.00000,5.3700000000000045,0.0
1981-03-03,0.00000,1.5,0.0
1981-03-04,0.09060,1.9300000000000068,5.94
1981-03-05,0.13860,5.270000000000039,7.71
1981-03-06,0.00000,1.9600000000000364,0.0
1981-03-07,0.00000,-0.2699999999999818,0.0
1981-03-08,0.00000,-0.7599999999999909,0.0
1981-03-09,0.00000,2.5300000000000296,0.0
1981-03-10,0.00000,3.1899999999999977,0.0
1981-03-11,0.00000,4.3700000000000045,0.0
1981-03-12,0.00000,2.4700000000000273,0.0
1981-03-13,0.00000,6.060000000000002,0.0
1981-03-14,0.00000,3.5200000000000387,0.0
1981-03-15,0.00000,2.57000000000005,0.0
1981-03-16,0.00010,6.230000000000018,0.47
1981-03-17,0.00000,0.4300000000000068,0.0
1981-03-18,0.00010,6.230000000000018,0.21
1981-03-19,0.00000,0.1500000000000341,0.25
1981-03-20,0.00000,-3.349999999999966,0.07
1981-03-21,0.01060,0.4399999999999977,1.18
1981-03-22,0.03550,1.2700000000000387,3.26
1981-03-23,0.34960,0.8600000000000136,16.38
1981-03-24,0.00190,2.1100000000000136,0.0
1981-03-25,0.00000,4.5400000000000205,0.0
1981-03-26,0.00000,6.470000000000027,0.03
1981-03-27,0.00000,9.629999999999995,0.1
1981-03-28,0.00000,7.6200000000000045,0.0
1981-03-29,0.00000,11.120000000000005,0.0
1981-03-30,1.61180,13.620000000000005,19.43
1981-03-31,0.00000,14.350000000000023,0.0
1981-04-01,0.00010,15.410000000000025,0.32
1981-04-02,0.00000,12.350000000000023,0.0
1981-04-03,0.00000,14.770000000000039,0.0
1981-04-04,0.00000,16.950000000000045,0.08
1981-04-05,0.16630,15.390000000000043,10.17
1981-04-06,0.00120,6.850000000000023,0.44
1981-04-07,0.00000,5.340000000000032,0.0
1981-04-08,0.00000,10.720000000000027,0.0
1981-04-09,0.02970,13.180000000000007,4.35
1981-04-10,0.00140,13.730000000000018,0.94
1981-04-11,0.00000,18.100000000000023,0.01
1981-04-12,0.00070,19.470000000000027,0.46
1981-04-13,0.06030,15.629999999999995,3.61
1981-04-14,0.25900,12.420000000000016,7.45
1981-04-15,0.03340,10.870000000000005,1.49
1981-04-16,0.00090,10.060000000000002,0.46
1981-04-17,0.11100,12.939999999999998,7.31
1981-04-18,0.00010,17.260000000000048,0.16
1981-04-19,0.00000,14.970000000000027,0.06
1981-04-20,0.60190,12.150000000000034,14.75
1981-04-21,0.00000,7.560000000000002,0.0
1981-04-22,0.00000,9.220000000000027,0.0
1981-04-23,0.00020,15.620000000000005,0.44
1981-04-24,0.00230,14.300000000000011,1.18
1981-04-25,0.00000,7.1200000000000045,0.0
1981-04-26,0.00000,11.03000000000003,0.0
1981-04-27,0.00000,18.100000000000023,0.0
1981-04-28,0.00000,20.710000000000036,0.0
1981-04-29,0.00100,19.910000000000025,1.28
1981-04-30,0.01240,16.640000000000043,2.3
1981-05-01,0.00500,14.150000000000034,1.87
1981-05-02,0.00000,8.180000000000007,0.0
1981-05-03,0.00000,8.800000000000011,0.0
1981-05-04,0.00000,14.990000000000009,0.0
1981-05-05,0.00000,17.55000000000001,0.0
1981-05-06,0.00010,16.03000000000003,0.79
1981-05-07,0.00150,12.590000000000032,0.76
1981-05-08,0.00000,9.150000000000034,0.0
1981-05-09,0.00000,10.53000000000003,0.0
1981-05-10,0.00470,13.660000000000025,1.82
1981-05-11,0.37800,16.189999999999998,10.44
1981-05-12,0.00000,12.300000000000011,0.05
1981-05-13,0.00000,12.170000000000016,0.0
1981-05-14,0.00000,17.410000000000025,0.03
1981-05-15,0.43210,17.310000000000002,10.72
1981-05-16,0.00000,11.310000000000002,0.0
1981-05-17,0.00000,12.520000000000039,0.65
1981-05-18,0.03180,13.370000000000005,4.52
1981-05-19,0.65110,10.180000000000007,21.59
1981-05-20,0.13470,7.8799999999999955,8.87
1981-05-21,0.00460,11.950000000000045,1.14
1981-05-22,0.00000,15.189999999999998,0.0
1981-05-23,0.00000,17.24000000000001,0.0
1981-05-24,0.00000,19.700000000000045,0.0
1981-05-25,0.00000,21.060000000000002,0.0
1981-05-26,0.00000,21.160000000000025,0.04
1981-05-27,0.18280,17.810000000000002,11.74
1981-05-28,2.76000,16.220000000000027,42.68
1981-05-29,0.01950,16.78000000000003,1.53
1981-05-30,0.00000,20.05000000000001,0.24
1981-05-31,0.00070,21.600000000000023,1.91
1981-06-01,0.01180,19.480000000000018,2.58
1981-06-02,0.06710,20.33000000000004,7.5
1981-06-03,0.04480,22.310000000000002,2.73
1981-06-04,0.00260,22.379999999999995,4.51
1981-06-05,0.01510,22.480000000000018,1.31
1981-06-06,0.27480,23.52000000000004,11.46
1981-06-07,0.78280,21.360000000000014,10.96
1981-06-08,0.00000,21.689999999999998,0.0
1981-06-09,0.00000,24.03000000000003,0.0
1981-06-10,0.00010,25.620000000000005,1.02
1981-06-11,0.00000,22.52000000000004,0.01
1981-06-12,0.00000,21.660000000000025,0.36
1981-06-13,0.00000,24.200000000000045,0.63
1981-06-14,0.00000,25.840000000000032,0.59
1981-06-15,0.00000,26.55000000000001,0.0
1981-06-16,0.00000,25.939999999999998,0.0
1981-06-17,0.00000,23.760000000000048,0.0
1981-06-18,0.00000,21.75,0.0
1981-06-19,0.00000,23.700000000000045,0.38
1981-06-20,0.07700,23.379999999999995,3.47
1981-06-21,0.00000,23.58000000000004,0.48
1981-06-22,0.00320,26.090000000000032,0.92
1981-06-23,0.00000,23.700000000000045,0.0
1981-06-24,0.00000,22.890000000000043,0.0
1981-06-25,0.04170,25.04000000000002,2.91
