,Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean,YYYY/MO
42,1984,7,31.0,0.1043064516129032,0.1966738212294387,0.0,0.00015,0.03,0.0893,0.6989,3.233499999999999,1984/7
43,1984,8,31.0,0.3386548387096774,1.0930259063226602,0.0,0.0,0.0138,0.09625,5.8575,10.498299999999999,1984/8
44,1984,9,30.0,0.0221,0.0628653953382501,0.0,0.0,0.0,0.0,0.2886,0.663,1984/9
45,1984,10,31.0,0.0678612903225806,0.2483192497269317,0.0,0.0,0.0,0.00145,1.288,2.1036999999999986,1984/10
46,1984,11,30.0,0.0784933333333333,0.1993136272887243,0.0,0.0,0.0,0.001175,0.7523,2.354799999999999,1984/11
47,1984,12,31.0,0.0259935483870967,0.0844528110267655,0.0,0.0,0.0001,0.0034999999999999,0.4441,0.8057999999999977,1984/12
48,1985,1,31.0,0.059216129032258,0.1843567738503691,0.0,0.0,0.0001,0.00375,0.8152,1.835699999999998,1985/1
49,1985,2,28.0,0.2040357142857142,0.7156060530219772,0.0,0.0,0.0,0.00315,3.6417,5.712999999999997,1985/2
50,1985,3,31.0,0.0245967741935483,0.0886367850043873,0.0,0.0,0.0,0.002,0.3772,0.7624999999999973,1985/3
51,1985,4,30.0,0.0972366666666666,0.3005348479229854,0.0,0.0,0.0,0.0,1.3444,2.917099999999998,1985/4
52,1985,5,31.0,0.2619483870967742,0.7135510273138462,0.0,0.0,0.0001,0.09745,3.5927,8.1204,1985/5
53,1985,6,30.0,0.0485866666666666,0.1531108877709975,0.0,0.0,0.0,0.0306,0.8321,1.457599999999998,1985/6
54,1985,7,31.0,0.1054548387096774,0.197114533268875,0.0,0.0,0.0188,0.11175,0.7409,3.2690999999999995,1985/7
55,1985,8,31.0,0.3736096774193547,1.3150006300010757,0.0,0.0,0.0057,0.071,6.9792,11.581899999999996,1985/8
56,1985,9,30.0,0.0401599999999999,0.191344476506784,0.0,0.0,0.0,0.0043749999999999,1.0499,1.204799999999997,1985/9
57,1985,10,31.0,0.0987451612903225,0.2667281635407226,0.0,0.0,0.0,0.01505,1.2841,3.0610999999999975,1985/10
